team,number,name,total_minutes,appearances
朝鮮大学校,4,金 悠宇,1170,13
玉川大学,16,今村　光汰,1170,13
玉川大学,3,信賀　有希,1170,13
横浜国立大学（神奈川県）,7,立入　光記,1170,13
武蔵大学,19,加藤　大聖,1170,13
日本大学文理学部,93,小川 寧大,1170,13
日本大学文理学部,10,城田 優,1170,13
桜美林大学,90,三治　陽空,1170,13
桜美林大学,5,高井　翔麻,1170,13
学習院大学,3,中川　賢人,1170,13
学習院大学,5,小林　恭輔,1170,13
学習院大学,10,小林　千紘,1170,13
東京経済大学,12,中村　裕大,1170,13
東京経済大学,5,内田　雄真,1170,13
神奈川工科大学（神奈川県）,30,大久保　陸翔,1170,13
帝京大学,1,佐藤 翔,1170,13
帝京大学,3,船木 匡太朗,1170,13
上智大学,1,藤田　大輝,1170,13
上智大学,6,荒川　哲平,1170,13
朝鮮大学校,19,金 亨政,1167,13
横浜国立大学（神奈川県）,1,神山　洋輝,1163,13
上智大学,44,山崎　颯介,1163,13
桜美林大学,6,吉川　遥人,1161,13
日本大学文理学部,25,間 琥太朗,1158,13
学習院大学,11,渡辺　創士,1158,13
日本大学文理学部,2,横山 聡大,1149,13
上智大学,33,村田　幸基,1146,13
武蔵大学,33,宇野　大稀,1145,13
横浜国立大学（神奈川県）,10,原子　泰地,1142,13
横浜国立大学（神奈川県）,8,小宮　昂大,1141,13
日本大学文理学部,14,葛西 由晏,1140,13
横浜国立大学（神奈川県）,36,井上　愛翔,1109,13
帝京大学,14,藤田 晴,1109,13
朝鮮大学校,11,鄭 泰男,1085,13
朝鮮大学校,29,鄭 誓華,1082,13
神奈川工科大学（神奈川県）,7,小林　優介,1081,13
学習院大学,1,若尾　林太朗,1080,12
横浜国立大学（神奈川県）,13,竹中　暖喜,1077,12
東京経済大学,7,大塚　恭生,1077,12
上智大学,9,田中　佑樹,1077,13
武蔵大学,11,田辺　伊吹,1076,13
神奈川工科大学（神奈川県）,9,功刀　崇斗,1076,13
東京経済大学,10,伊崎　耕紀,1069,12
