date,team,number,name,position,minutes_played,status
2026/04/04(土) 17:00 キックオフ,大東文化大学,12,妹尾　典,GK,90,先発
2026/04/04(土) 17:00 キックオフ,大東文化大学,18,青　海斗,DF,90,先発
2026/04/04(土) 17:00 キックオフ,大東文化大学,3,雨宮　壮汰,DF,90,先発
2026/04/04(土) 17:00 キックオフ,大東文化大学,5,池羽　航輝,DF,90,先発
2026/04/04(土) 17:00 キックオフ,大東文化大学,27,津田　楓真,DF,90,先発
2026/04/04(土) 17:00 キックオフ,大東文化大学,80,石神　瞬,MF,88,先発
2026/04/04(土) 17:00 キックオフ,大東文化大学,47,渡辺　浩史,MF,90,先発
2026/04/04(土) 17:00 キックオフ,大東文化大学,14,信國　達也,MF,81,先発
2026/04/04(土) 17:00 キックオフ,大東文化大学,16,栗栖　晴己,MF,45,先発
2026/04/04(土) 17:00 キックオフ,大東文化大学,43,並木　俊輔,MF,72,先発
2026/04/04(土) 17:00 キックオフ,大東文化大学,96,奥田　大翔,FW,45,先発
2026/04/04(土) 17:00 キックオフ,大東文化大学,31,佐藤　晴翔,GK,0,控え
2026/04/04(土) 17:00 キックオフ,大東文化大学,6,目黒　嵩人,DF,2,控え
2026/04/04(土) 17:00 キックオフ,大東文化大学,46,金子　潤,DF,0,控え
2026/04/04(土) 17:00 キックオフ,大東文化大学,13,佐久間　勇斗,MF,0,控え
2026/04/04(土) 17:00 キックオフ,大東文化大学,11,舘　颯之介,MF,9,控え
2026/04/04(土) 17:00 キックオフ,大東文化大学,10,安藤　稜人,MF,45,控え
2026/04/04(土) 17:00 キックオフ,大東文化大学,29,佐藤　大心,MF,45,控え
2026/04/04(土) 17:00 キックオフ,大東文化大学,19,上田　然,FW,0,控え
2026/04/04(土) 17:00 キックオフ,大東文化大学,7,笠原　壮瑠,FW,18,控え
2026/04/04(土) 17:00 キックオフ,朝鮮大学校,1,金 柱相,GK,90,先発
2026/04/04(土) 17:00 キックオフ,朝鮮大学校,2,沈 瑞輝,DF,90,先発
2026/04/04(土) 17:00 キックオフ,朝鮮大学校,4,金 悠宇,DF,90,先発
