date,team,number,name,grade,position,minutes_played,status,shoot_1st,shoot_2nd,shoot_total,goals,goal_rate
2026/04/05(日) 10:00 キックオフ,日本文化大學,1,山本　章介,2,GK,90,先発,0,0,0,0,0.0
2026/04/05(日) 10:00 キックオフ,日本文化大學,2,嶺野　悠斗,2,DF,90,先発,0,0,0,0,0.0
2026/04/05(日) 10:00 キックオフ,日本文化大學,3,中野　万輝斗,2,DF,90,先発,0,0,0,0,0.0
2026/04/05(日) 10:00 キックオフ,日本文化大學,4,黒沢　耀,1,DF,90,先発,0,0,0,0,0.0
2026/04/05(日) 10:00 キックオフ,日本文化大學,5,日野原　十矢,1,DF,90,先発,0,0,0,0,0.0
2026/04/05(日) 10:00 キックオフ,日本文化大學,6,岸上　一吹,1,MF,75,先発,0,0,0,0,0.0
2026/04/05(日) 10:00 キックオフ,日本文化大學,7,村瀬　陸斗,1,MF,88,先発,1,2,3,0,0.0
2026/04/05(日) 10:00 キックオフ,日本文化大學,8,松野　竜成,3,FW,90,先発,1,3,4,1,25.0
2026/04/05(日) 10:00 キックオフ,日本文化大學,9,間野　翼,3,MF,80,先発,0,2,2,2,100.0
2026/04/05(日) 10:00 キックオフ,日本文化大學,10,クリムキ　アンドリュー,2,FW,75,先発,0,2,2,0,0.0
2026/04/05(日) 10:00 キックオフ,日本文化大學,11,井之﨑　隼也,2,FW,79,先発,0,1,1,0,0.0
2026/04/05(日) 10:00 キックオフ,日本文化大學,13,宮里　飛雄馬,2,MF,15,控え,0,0,0,0,0.0
2026/04/05(日) 10:00 キックオフ,日本文化大學,16,小泉　伶真,2,DF,0,控え,0,0,0,0,0.0
2026/04/05(日) 10:00 キックオフ,日本文化大學,17,有山　大翔,3,MF,15,控え,0,0,0,0,0.0
2026/04/05(日) 10:00 キックオフ,日本文化大學,18,永盛　太己,1,MF,2,控え,0,1,1,0,0.0
2026/04/05(日) 10:00 キックオフ,日本文化大學,20,大野　泰朗,2,FW,0,控え,0,0,0,0,0.0
2026/04/05(日) 10:00 キックオフ,日本文化大學,22,田上　伊織,1,FW,11,控え,0,0,0,0,0.0
2026/04/05(日) 10:00 キックオフ,日本文化大學,24,伊皆　康輝,1,DF,0,控え,0,0,0,0,0.0
2026/04/05(日) 10:00 キックオフ,日本文化大學,27,目黒　旺樹,1,DF,10,控え,0,0,0,0,0.0
2026/04/05(日) 10:00 キックオフ,日本文化大學,31,鈴木　彪琉,1,GK,0,控え,0,0,0,0,0.0
2026/04/05(日) 10:00 キックオフ,東京理科大学,1,山本　大介,3,GK,90,先発,0,0,0,0,0.0
2026/04/05(日) 10:00 キックオフ,東京理科大学,5,伊藤　涼真,4,DF,85,先発,0,0,0,0,0.0
2026/04/05(日) 10:00 キックオフ,東京理科大学,8,白川　陽,4,MF,90,先発,0,2,2,0,0.0
2026/04/05(日) 10:00 キックオフ,東京理科大学,10,原　虎太郎,4,MF,71,先発,3,1,4,0,0.0
2026/04/05(日) 10:00 キックオフ,東京理科大学,11,鈴木　冬聖,4,FW,90,先発,0,0,0,0,0.0
2026/04/05(日) 10:00 キックオフ,東京理科大学,16,吉岡　宏彬,3,MF,90,先発,1,0,1,0,0.0
2026/04/05(日) 10:00 キックオフ,東京理科大学,29,櫻井　友翔,2,FW,78,先発,0,0,0,0,0.0
2026/04/05(日) 10:00 キックオフ,東京理科大学,41,為我井　煌生,3,DF,90,先発,2,2,4,0,0.0
2026/04/05(日) 10:00 キックオフ,東京理科大学,51,長島　正悟,3,MF,90,先発,1,0,1,0,0.0
2026/04/05(日) 10:00 キックオフ,東京理科大学,66,守屋　大地,3,MF,90,先発,2,0,2,0,0.0
2026/04/05(日) 10:00 キックオフ,東京理科大学,71,篠原　烈士,2,MF,64,先発,0,0,0,0,0.0
2026/04/05(日) 10:00 キックオフ,東京理科大学,4,鈴木　敬吾,3,DF,5,控え,0,0,0,0,0.0
2026/04/05(日) 10:00 キックオフ,東京理科大学,9,内本　達三郎,4,FW,0,控え,0,0,0,0,0.0
2026/04/05(日) 10:00 キックオフ,東京理科大学,22,田口　育磨,2,MF,19,控え,0,0,0,0,0.0
2026/04/05(日) 10:00 キックオフ,東京理科大学,24,赤木　康太,4,MF,0,控え,0,0,0,0,0.0
2026/04/05(日) 10:00 キックオフ,東京理科大学,27,福原　圭汰,4,MF,12,控え,0,0,0,0,0.0
2026/04/05(日) 10:00 キックオフ,東京理科大学,28,鷹野　翼,2,GK,0,控え,0,0,0,0,0.0
2026/04/05(日) 10:00 キックオフ,東京理科大学,54,神保　朋季,4,DF,0,控え,0,0,0,0,0.0
2026/04/05(日) 10:00 キックオフ,東京理科大学,69,松永　陸杜,2,MF,0,控え,0,0,0,0,0.0
2026/04/05(日) 10:00 キックオフ,東京理科大学,77,高島　大河,3,FW,26,控え,0,0,0,0,0.0
